FID,LAD19CD,LAD19NM,PHEC19CD,PHEC19CDH,PHEC19NM,PHEREG19CD,PHEREG19CDH,PHEREG19NM
176,E07000223,Adur,E45000019,X25004AH,South East,E46000004,X25004,South of England
177,E07000224,Arun,E45000019,X25004AH,South East,E46000004,X25004,South of England
178,E07000225,Chichester,E45000019,X25004AH,South East,E46000004,X25004,South of England
179,E07000226,Crawley,E45000019,X25004AH,South East,E46000004,X25004,South of England
180,E07000227,Horsham,E45000019,X25004AH,South East,E46000004,X25004,South of England
181,E07000228,Mid Sussex,E45000019,X25004AH,South East,E46000004,X25004,South of England
182,E07000229,Worthing,E45000019,X25004AH,South East,E46000004,X25004,South of England
183,E06000022,Bath and North East Somerset,E45000020,X25004AG,South West,E46000004,X25004,South of England
184,E06000023,"Bristol, City of",E45000020,X25004AG,South West,E46000004,X25004,South of England
185,E06000024,North Somerset,E45000020,X25004AG,South West,E46000004,X25004,South of England
186,E06000025,South Gloucestershire,E45000020,X25004AG,South West,E46000004,X25004,South of England
187,E06000026,Plymouth,E45000020,X25004AG,South West,E46000004,X25004,South of England
188,E06000027,Torbay,E45000020,X25004AG,South West,E46000004,X25004,South of England
189,E06000030,Swindon,E45000020,X25004AG,South West,E46000004,X25004,South of England
190,E06000052,Cornwall,E45000020,X25004AG,South West,E46000004,X25004,South of England
191,E06000053,Isles of Scilly,E45000020,X25004AG,South West,E46000004,X25004,South of England
192,E06000054,Wiltshire,E45000020,X25004AG,South West,E46000004,X25004,South of England
193,E06000058,"Bournemouth, Christchurch and Poole",E45000020,X25004AG,South West,E46000004,X25004,South of England
194,E06000059,Dorset,E45000020,X25004AG,South West,E46000004,X25004,South of England
195,E07000040,East Devon,E45000020,X25004AG,South West,E46000004,X25004,South of England
196,E07000041,Exeter,E45000020,X25004AG,South West,E46000004,X25004,South of England
197,E07000042,Mid Devon,E45000020,X25004AG,South West,E46000004,X25004,South of England
198,E07000043,North Devon,E45000020,X25004AG,South West,E46000004,X25004,South of England
199,E07000044,South Hams,E45000020,X25004AG,South West,E46000004,X25004,South of England
200,E07000045,Teignbridge,E45000020,X25004AG,South West,E46000004,X25004,South of England
201,E07000046,Torridge,E45000020,X25004AG,South West,E46000004,X25004,South of England
202,E07000047,West Devon,E45000020,X25004AG,South West,E46000004,X25004,South of England
203,E07000078,Cheltenham,E45000020,X25004AG,South West,E46000004,X25004,South of England
204,E07000079,Cotswold,E45000020,X25004AG,South West,E46000004,X25004,South of England
205,E07000080,Forest of Dean,E45000020,X25004AG,South West,E46000004,X25004,South of England
206,E07000081,Gloucester,E45000020,X25004AG,South West,E46000004,X25004,South of England
207,E07000082,Stroud,E45000020,X25004AG,South West,E46000004,X25004,South of England
208,E07000083,Tewkesbury,E45000020,X25004AG,South West,E46000004,X25004,South of England
209,E07000187,Mendip,E45000020,X25004AG,South West,E46000004,X25004,South of England
210,E07000188,Sedgemoor,E45000020,X25004AG,South West,E46000004,X25004,South of England
211,E07000189,South Somerset,E45000020,X25004AG,South West,E46000004,X25004,South of England
212,E07000246,Somerset West and Taunton,E45000020,X25004AG,South West,E46000004,X25004,South of England
213,E08000037,Gateshead,E45000009,X25003AE,North East,E46000003,X25003,North of England
214,E06000010,"Kingston upon Hull, City of",E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
215,E06000011,East Riding of Yorkshire,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
216,E06000012,North East Lincolnshire,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
217,E06000013,North Lincolnshire,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
218,E06000014,York,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
219,E07000163,Craven,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
220,E07000164,Hambleton,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
221,E07000165,Harrogate,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
222,E07000166,Richmondshire,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
223,E07000167,Ryedale,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
224,E07000168,Scarborough,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
225,E07000169,Selby,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
226,E08000016,Barnsley,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
227,E08000017,Doncaster,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
228,E08000018,Rotherham,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
229,E08000019,Sheffield,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
230,E08000032,Bradford,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
231,E08000033,Calderdale,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
232,E08000034,Kirklees,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
233,E08000035,Leeds,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
234,E08000036,Wakefield,E45000010,X25003AF,Yorkshire and Humber,E46000003,X25003,North of England
235,E06000006,Halton,E45000018,X25003AG,North West,E46000003,X25003,North of England
236,E06000007,Warrington,E45000018,X25003AG,North West,E46000003,X25003,North of England
237,E06000008,Blackburn with Darwen,E45000018,X25003AG,North West,E46000003,X25003,North of England
238,E06000009,Blackpool,E45000018,X25003AG,North West,E46000003,X25003,North of England
239,E06000049,Cheshire East,E45000018,X25003AG,North West,E46000003,X25003,North of England
240,E06000050,Cheshire West and Chester,E45000018,X25003AG,North West,E46000003,X25003,North of England
241,E07000026,Allerdale,E45000018,X25003AG,North West,E46000003,X25003,North of England
242,E07000027,Barrow-in-Furness,E45000018,X25003AG,North West,E46000003,X25003,North of England
243,E07000028,Carlisle,E45000018,X25003AG,North West,E46000003,X25003,North of England
244,E07000029,Copeland,E45000018,X25003AG,North West,E46000003,X25003,North of England
245,E07000030,Eden,E45000018,X25003AG,North West,E46000003,X25003,North of England
246,E07000031,South Lakeland,E45000018,X25003AG,North West,E46000003,X25003,North of England
247,E07000117,Burnley,E45000018,X25003AG,North West,E46000003,X25003,North of England
248,E07000118,Chorley,E45000018,X25003AG,North West,E46000003,X25003,North of England
249,E07000119,Fylde,E45000018,X25003AG,North West,E46000003,X25003,North of England
250,E07000120,Hyndburn,E45000018,X25003AG,North West,E46000003,X25003,North of England
251,E07000121,Lancaster,E45000018,X25003AG,North West,E46000003,X25003,North of England
252,E07000122,Pendle,E45000018,X25003AG,North West,E46000003,X25003,North of England
253,E07000123,Preston,E45000018,X25003AG,North West,E46000003,X25003,North of England
254,E07000124,Ribble Valley,E45000018,X25003AG,North West,E46000003,X25003,North of England
255,E07000125,Rossendale,E45000018,X25003AG,North West,E46000003,X25003,North of England
256,E07000126,South Ribble,E45000018,X25003AG,North West,E46000003,X25003,North of England
257,E07000127,West Lancashire,E45000018,X25003AG,North West,E46000003,X25003,North of England
258,E07000128,Wyre,E45000018,X25003AG,North West,E46000003,X25003,North of England
259,E08000001,Bolton,E45000018,X25003AG,North West,E46000003,X25003,North of England
260,E08000002,Bury,E45000018,X25003AG,North West,E46000003,X25003,North of England
261,E08000003,Manchester,E45000018,X25003AG,North West,E46000003,X25003,North of England
262,E08000004,Oldham,E45000018,X25003AG,North West,E46000003,X25003,North of England
263,E08000005,Rochdale,E45000018,X25003AG,North West,E46000003,X25003,North of England
264,E08000006,Salford,E45000018,X25003AG,North West,E46000003,X25003,North of England
265,E07000237,Worcester,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
266,E07000238,Wychavon,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
267,E07000239,Wyre Forest,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
268,E08000025,Birmingham,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
269,E08000026,Coventry,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
270,E08000027,Dudley,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
271,E08000028,Sandwell,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
272,E08000029,Solihull,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
273,E08000030,Walsall,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
274,E08000031,Wolverhampton,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
275,E06000015,Derby,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
276,E06000016,Leicester,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
277,E06000017,Rutland,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
278,E06000018,Nottingham,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
279,E07000032,Amber Valley,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
280,E07000033,Bolsover,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
281,E07000034,Chesterfield,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
282,E07000035,Derbyshire Dales,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
283,E07000036,Erewash,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
284,E07000037,High Peak,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
285,E07000038,North East Derbyshire,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
286,E07000039,South Derbyshire,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
287,E07000129,Blaby,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
288,E07000130,Charnwood,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
289,E07000131,Harborough,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
290,E07000132,Hinckley and Bosworth,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
291,E07000133,Melton,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
292,E07000134,North West Leicestershire,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
293,E07000135,Oadby and Wigston,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
294,E07000136,Boston,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
